Combiner,Embedding dimensions,Number of filters,Filter width,Number of units in hidden layer,F1,Number of parameters
cos,20,010,10,100,0.0593,7756
dot,20,010,10,100,0.0992,7756
dot,10,200,05,100,0.1652,14156
dot,10,100,05,100,0.1825,8656
dot,20,010,05,100,0.2306,6756
dot,02,200,05,100,0.2535,4116
cos,10,010,10,010,0.2625,3666
dot,02,200,10,000,0.2633,5518
dot,20,100,05,010,0.2637,15666
dot,02,100,05,010,0.2684,2076
cos,02,010,10,010,0.2745,826
cos,10,010,05,010,0.2765,3166
dot,20,200,05,000,0.2772,26108
dot,20,100,05,100,0.2776,16206
cos,20,100,10,000,0.2815,25608
cos,10,100,10,010,0.2817,13116
dot,10,200,05,010,0.2821,13616
dot,20,100,10,000,0.2839,25608
cos,20,200,05,010,0.2848,26166
dot,20,200,10,000,0.2878,46108
dot,10,100,10,010,0.2908,13116
dot,10,200,05,000,0.2909,13558
dot,20,200,05,010,0.2913,26166
cos,10,100,05,100,0.2936,8656
cos,10,200,10,010,0.2946,23616
dot,10,200,10,010,0.2950,23616
cos,20,200,05,000,0.2951,26108
cos,20,100,05,010,0.2981,15666
cos,20,200,10,000,0.3010,46108
cos,10,200,05,000,0.3012,13558
dot,02,100,05,100,0.3113,2616
cos,20,010,05,100,0.3125,6756
dot,10,010,10,010,0.3143,3666
dot,02,010,10,100,0.3263,1366
cos,10,010,05,100,0.3820,3706
dot,02,200,10,100,0.3854,6116
cos,02,010,10,100,0.3938,1366
dot,10,010,10,100,0.3999,4206
dot,20,200,10,010,0.4061,46166
cos,20,010,10,010,0.4237,7216
dot,20,100,10,100,0.4254,26206
dot,02,100,10,100,0.4255,3616
dot,10,010,05,100,0.4333,3706
dot,02,010,05,010,0.4335,726
dot,20,100,10,010,0.4377,25666
dot,20,010,10,010,0.4443,7216
dot,20,010,05,000,0.4475,6158
dot,20,010,05,010,0.4480,6216
cos,10,010,05,000,0.4526,3108
cos,10,010,10,000,0.4549,3608
dot,20,200,05,100,0.4669,26706
dot,02,010,05,000,0.4751,668
dot,10,200,10,100,0.4779,24156
cos,10,010,10,100,0.4790,4206
dot,02,200,05,010,0.4824,3576
dot,20,100,05,000,0.4838,15608
dot,20,200,10,100,0.4877,46706
dot,10,100,10,100,0.4891,13656
cos,02,010,05,000,0.4934,668
cos,02,010,10,000,0.5014,768
dot,02,010,10,000,0.5090,768
cos,20,010,10,000,0.5183,7158
dot,02,200,10,010,0.5279,5576
cos,02,010,05,010,0.5394,726
dot,10,200,10,000,0.5446,23558
dot,02,100,10,010,0.5514,3076
dot,02,100,10,000,0.5630,3018
cos,20,010,05,000,0.5652,6158
dot,10,100,10,000,0.5714,13058
dot,02,100,05,000,0.5917,2018
cos,20,010,05,010,0.5977,6216
dot,20,010,10,000,0.6028,7158
dot,02,200,05,000,0.6083,3518
dot,10,100,05,010,0.6164,8116
cos,02,100,05,100,0.6631,2616
cos,02,100,05,010,0.6655,2076
dot,10,010,05,000,0.6921,3108
dot,10,010,10,000,0.7127,3608
cos,10,100,10,100,0.7173,13656
cos,02,100,10,010,0.7200,3076
cos,02,200,05,100,0.7220,4116
cos,02,200,05,010,0.7270,3576
cos,02,100,05,000,0.7272,2018
cos,10,100,05,010,0.7340,8116
cos,20,100,05,100,0.7395,16206
cos,10,200,05,010,0.7451,13616
cos,10,200,05,100,0.7494,14156
cos,02,200,05,000,0.7495,3518
cos,10,200,10,100,0.7495,24156
cos,02,100,10,100,0.7507,3616
cos,10,100,05,000,0.7517,8058
cos,20,100,05,000,0.7535,15608
cos,20,200,10,010,0.7616,46166
cos,20,100,10,010,0.7655,25666
cos,20,200,10,100,0.7661,46706
cos,20,100,10,100,0.7664,26206
dot,10,100,05,000,0.7664,8058
cos,02,200,10,100,0.7686,6116
cos,20,200,05,100,0.7712,26706
cos,02,200,10,010,0.7744,5576
cos,02,010,05,100,0.7751,1266
cos,02,100,10,000,0.7756,3018
dot,10,010,05,010,0.7759,3166
dot,02,010,05,100,0.7760,1266
dot,02,010,10,010,0.7781,826
cos,02,200,10,000,0.7901,5518
cos,10,200,10,000,0.7911,23558
cos,10,100,10,000,0.8018,13058
