Algorithm	Rank	Accuracy	Non-word Length	Corpus
Aspell with Jaro-Winkler	1	0.672924488944514	-1	Wikipedia
Aspell with Jaro-Winkler	2	0.7726324572382144	-1	Wikipedia
Aspell with Jaro-Winkler	3	0.869837296620776	-1	Wikipedia
Aspell with Jaro-Winkler	4	0.919482686691698	-1	Wikipedia
Aspell with Jaro-Winkler	5	0.9403420942845223	-1	Wikipedia
Aspell with Jaro-Winkler	6	0.9541093032957864	-1	Wikipedia
Aspell with Jaro-Winkler	7	0.9586983729662077	-1	Wikipedia
Aspell with Jaro-Winkler	8	0.9628702544847726	-1	Wikipedia
Aspell with Jaro-Winkler	9	0.9637046307884856	-1	Wikipedia
Aspell with Jaro-Winkler	10	0.9662077596996246	-1	Wikipedia
Aspell with Jaro-Winkler	20	0.9707968293700459	-1	Wikipedia
Aspell with Jaro-Winkler	30	0.9707968293700459	-1	Wikipedia
Aspell with Jaro-Winkler	40	0.9707968293700459	-1	Wikipedia
Aspell with Jaro-Winkler	50	0.9707968293700459	-1	Wikipedia
Aspell with Jaro-Winkler	60	0.9707968293700459	-1	Wikipedia
Aspell with Jaro-Winkler	70	0.9707968293700459	-1	Wikipedia
Aspell with Jaro-Winkler	80	0.9707968293700459	-1	Wikipedia
Aspell with Jaro-Winkler	90	0.9707968293700459	-1	Wikipedia
Aspell with Jaro-Winkler	100	0.9707968293700459	-1	Wikipedia
Aspell with Jaro-Winkler	1	0.0	2	Wikipedia
Aspell with Jaro-Winkler	2	0.0	2	Wikipedia
Aspell with Jaro-Winkler	3	0.0	2	Wikipedia
Aspell with Jaro-Winkler	4	0.0	2	Wikipedia
Aspell with Jaro-Winkler	5	0.0	2	Wikipedia
Aspell with Jaro-Winkler	6	0.0	2	Wikipedia
Aspell with Jaro-Winkler	7	0.0	2	Wikipedia
Aspell with Jaro-Winkler	8	0.0	2	Wikipedia
Aspell with Jaro-Winkler	9	0.0	2	Wikipedia
Aspell with Jaro-Winkler	10	0.0	2	Wikipedia
Aspell with Jaro-Winkler	20	1.0	2	Wikipedia
Aspell with Jaro-Winkler	30	1.0	2	Wikipedia
Aspell with Jaro-Winkler	40	1.0	2	Wikipedia
Aspell with Jaro-Winkler	50	1.0	2	Wikipedia
Aspell with Jaro-Winkler	60	1.0	2	Wikipedia
Aspell with Jaro-Winkler	70	1.0	2	Wikipedia
Aspell with Jaro-Winkler	80	1.0	2	Wikipedia
Aspell with Jaro-Winkler	90	1.0	2	Wikipedia
Aspell with Jaro-Winkler	100	1.0	2	Wikipedia
Aspell with Jaro-Winkler	1	0.2	3	Wikipedia
Aspell with Jaro-Winkler	2	0.4	3	Wikipedia
Aspell with Jaro-Winkler	3	0.4	3	Wikipedia
Aspell with Jaro-Winkler	4	0.6	3	Wikipedia
Aspell with Jaro-Winkler	5	0.6	3	Wikipedia
Aspell with Jaro-Winkler	6	0.6	3	Wikipedia
Aspell with Jaro-Winkler	7	0.6	3	Wikipedia
Aspell with Jaro-Winkler	8	0.8	3	Wikipedia
Aspell with Jaro-Winkler	9	0.8	3	Wikipedia
Aspell with Jaro-Winkler	10	0.8	3	Wikipedia
Aspell with Jaro-Winkler	20	0.8	3	Wikipedia
Aspell with Jaro-Winkler	30	0.8	3	Wikipedia
Aspell with Jaro-Winkler	40	0.8	3	Wikipedia
Aspell with Jaro-Winkler	50	0.8	3	Wikipedia
Aspell with Jaro-Winkler	60	0.8	3	Wikipedia
Aspell with Jaro-Winkler	70	0.8	3	Wikipedia
Aspell with Jaro-Winkler	80	0.8	3	Wikipedia
Aspell with Jaro-Winkler	90	0.8	3	Wikipedia
Aspell with Jaro-Winkler	100	0.8	3	Wikipedia
Aspell with Jaro-Winkler	1	0.5075757575757576	4	Wikipedia
Aspell with Jaro-Winkler	2	0.6212121212121212	4	Wikipedia
Aspell with Jaro-Winkler	3	0.7651515151515151	4	Wikipedia
Aspell with Jaro-Winkler	4	0.8409090909090909	4	Wikipedia
Aspell with Jaro-Winkler	5	0.8560606060606061	4	Wikipedia
Aspell with Jaro-Winkler	6	0.8863636363636364	4	Wikipedia
Aspell with Jaro-Winkler	7	0.8939393939393939	4	Wikipedia
Aspell with Jaro-Winkler	8	0.9015151515151515	4	Wikipedia
Aspell with Jaro-Winkler	9	0.9015151515151515	4	Wikipedia
Aspell with Jaro-Winkler	10	0.9166666666666666	4	Wikipedia
Aspell with Jaro-Winkler	20	0.9393939393939394	4	Wikipedia
Aspell with Jaro-Winkler	30	0.9393939393939394	4	Wikipedia
Aspell with Jaro-Winkler	40	0.9393939393939394	4	Wikipedia
Aspell with Jaro-Winkler	50	0.9393939393939394	4	Wikipedia
Aspell with Jaro-Winkler	60	0.9393939393939394	4	Wikipedia
Aspell with Jaro-Winkler	70	0.9393939393939394	4	Wikipedia
Aspell with Jaro-Winkler	80	0.9393939393939394	4	Wikipedia
Aspell with Jaro-Winkler	90	0.9393939393939394	4	Wikipedia
Aspell with Jaro-Winkler	100	0.9393939393939394	4	Wikipedia
Aspell with Jaro-Winkler	1	0.44919786096256686	5	Wikipedia
Aspell with Jaro-Winkler	2	0.6577540106951871	5	Wikipedia
Aspell with Jaro-Winkler	3	0.7807486631016043	5	Wikipedia
Aspell with Jaro-Winkler	4	0.8556149732620321	5	Wikipedia
Aspell with Jaro-Winkler	5	0.9090909090909091	5	Wikipedia
Aspell with Jaro-Winkler	6	0.9144385026737968	5	Wikipedia
Aspell with Jaro-Winkler	7	0.9144385026737968	5	Wikipedia
Aspell with Jaro-Winkler	8	0.9197860962566845	5	Wikipedia
Aspell with Jaro-Winkler	9	0.9197860962566845	5	Wikipedia
Aspell with Jaro-Winkler	10	0.93048128342246	5	Wikipedia
Aspell with Jaro-Winkler	20	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	30	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	40	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	50	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	60	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	70	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	80	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	90	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	100	0.946524064171123	5	Wikipedia
Aspell with Jaro-Winkler	1	0.5360824742268041	6	Wikipedia
Aspell with Jaro-Winkler	2	0.6649484536082474	6	Wikipedia
Aspell with Jaro-Winkler	3	0.7577319587628866	6	Wikipedia
Aspell with Jaro-Winkler	4	0.8505154639175257	6	Wikipedia
Aspell with Jaro-Winkler	5	0.8505154639175257	6	Wikipedia
Aspell with Jaro-Winkler	6	0.8917525773195877	6	Wikipedia
Aspell with Jaro-Winkler	7	0.9072164948453608	6	Wikipedia
Aspell with Jaro-Winkler	8	0.9123711340206185	6	Wikipedia
Aspell with Jaro-Winkler	9	0.9226804123711341	6	Wikipedia
Aspell with Jaro-Winkler	10	0.9278350515463918	6	Wikipedia
Aspell with Jaro-Winkler	20	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	30	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	40	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	50	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	60	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	70	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	80	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	90	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	100	0.9381443298969072	6	Wikipedia
Aspell with Jaro-Winkler	1	0.5909090909090909	7	Wikipedia
Aspell with Jaro-Winkler	2	0.7027972027972028	7	Wikipedia
Aspell with Jaro-Winkler	3	0.8251748251748252	7	Wikipedia
Aspell with Jaro-Winkler	4	0.8881118881118881	7	Wikipedia
Aspell with Jaro-Winkler	5	0.9090909090909091	7	Wikipedia
Aspell with Jaro-Winkler	6	0.9405594405594405	7	Wikipedia
Aspell with Jaro-Winkler	7	0.951048951048951	7	Wikipedia
Aspell with Jaro-Winkler	8	0.9615384615384616	7	Wikipedia
Aspell with Jaro-Winkler	9	0.9615384615384616	7	Wikipedia
Aspell with Jaro-Winkler	10	0.9615384615384616	7	Wikipedia
Aspell with Jaro-Winkler	20	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	30	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	40	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	50	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	60	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	70	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	80	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	90	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	100	0.9685314685314685	7	Wikipedia
Aspell with Jaro-Winkler	1	0.6988950276243094	8	Wikipedia
Aspell with Jaro-Winkler	2	0.7845303867403315	8	Wikipedia
Aspell with Jaro-Winkler	3	0.8812154696132597	8	Wikipedia
